ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,z,plate,fiberID,mjd
171.67054,11.535862,18.53419,17.5765,17.40584,17.23608,17.10541,0.04079885,1606,251,53055
180.20928,12.167629,16.43708,15.24712,14.69887,14.41964,14.2296,0.04011058,1610,26,53144
180.08828,12.072725,18.77848,17.78164,17.3714,17.13338,17.01256,0.04026521,1610,61,53144
180.61368,12.104088,19.50887,18.11103,17.35045,16.95027,16.68868,0.04070817,1611,235,53147
180.56076,12.483398,17.90587,16.54739,15.88423,15.54202,15.27247,0.04021598,1611,278,53147
188.07621,11.261136,18.12091,16.23874,15.42821,14.99998,14.69641,0.0408373,1615,1,53166
188.50124,11.322182,18.39284,17.30912,16.94144,16.68922,16.55318,0.04076627,1616,247,53169
237.76813,9.7326036,17.07669,15.75313,15.19824,14.89954,14.78757,0.0408615,1726,418,53137
237.93236,9.7689532,17.91211,16.04825,15.23086,14.84781,14.53041,0.04026448,1726,454,53137
216.18535,23.139907,18.77102,17.03652,16.20029,15.81339,15.53578,0.04069835,2132,249,53493
218.03921,22.706741,18.36727,16.72482,15.92494,15.49798,15.16339,0.04036602,2136,218,53494
220.51257,24.909226,19.16148,17.64404,16.90771,16.51874,16.23755,0.04074508,2139,559,53878
221.33297,25.129004,18.82084,17.49942,16.85778,16.46822,16.21046,0.04069567,2143,335,54184
221.20176,25.131107,18.08371,16.73299,16.14785,15.8314,15.59156,0.04038444,2143,347,54184
221.22235,25.087822,18.08619,16.82307,16.36895,16.11481,15.91665,0.04039642,2143,391,54184
226.43285,20.295644,18.63904,16.8354,15.98383,15.54518,15.21731,0.04032162,2153,281,54212
228.33398,19.766236,18.58351,17.37446,16.69293,16.40001,16.20636,0.04084816,2156,241,54525
173.07495,-2.3197662,19.36123,17.82589,17.31004,17.01822,16.7662,0.04053754,326,38,52375
172.1163,-1.3251212,18.49574,16.69814,15.92372,15.55307,15.25746,0.04009994,326,524,52375
172.2745,-1.461113,19.1962,17.81374,17.09594,16.66528,16.34068,0.04079395,326,572,52375
172.91277,-1.9052456,19.26191,17.37293,16.43902,15.99961,15.6514,0.04059266,326,633,52375
173.06125,-1.7384112,17.00192,15.8972,15.43396,15.12821,14.92332,0.04016173,327,376,52294
172.89817,-1.8636803,18.52147,17.17616,16.57775,16.23977,15.96739,0.04057939,327,388,52294
173.33665,-2.3450712,17.79486,15.78944,14.90427,14.43715,14.05093,0.04098958,327,423,52294
173.39349,-2.2555111,18.26812,16.58461,15.73388,15.27457,14.88843,0.04006611,327,471,52294
173.35587,-2.3809865,17.08163,15.69779,15.14172,14.83681,14.63925,0.04009722,327,476,52294
195.55699,-1.7185046,19.35447,17.77676,16.80618,16.29828,15.8768,0.04057404,338,629,51694
134.67676,0.1914305,17.32583,16.0586,15.51855,15.20458,14.96125,0.04062223,469,133,51913
135.20732,-0.71426936,18.85716,17.71389,17.31216,17.08323,16.97202,0.04063326,470,242,51929
134.67676,0.1914305,17.32583,16.0586,15.51855,15.20458,14.96125,0.0406248,470,357,51929
119.70476,37.405451,19.50497,17.8409,17.17409,16.84372,16.54903,0.04025039,543,604,52017
119.6679,37.265107,18.46542,17.14352,16.51246,16.17072,15.91453,0.04031312,543,619,52017
120.25843,38.049813,18.20124,17.17401,16.77734,16.51231,16.36683,0.04064347,544,10,52201
120.08159,37.829134,19.45565,17.97314,17.5031,17.21968,17.08284,0.04024801,544,41,52201
119.6571,37.483093,17.55421,15.68672,14.85836,14.45489,14.15618,0.04009297,544,122,52201
163.98827,5.7325082,18.79174,17.10036,16.2524,15.78945,15.39992,0.04069466,580,334,52368
163.91852,5.337561,19.05045,17.23556,16.4273,16.05334,15.7409,0.0409133,580,339,52368
192.48684,64.921706,18.26715,17.061,16.51928,16.20241,15.9755,0.04026418,601,483,52316
119.60229,35.558967,17.3961,16.36729,15.91011,15.6373,15.45324,0.04028576,757,151,52238
119.6679,37.265107,18.46542,17.14352,16.51246,16.17072,15.91453,0.04027737,757,382,52238
119.71008,36.795785,17.79744,15.95234,15.12186,14.74,14.40479,0.0401214,757,436,52238
120.65842,36.314916,18.73545,16.90739,16.12483,15.75389,15.48411,0.0403714,757,532,52238
121.44133,37.092734,18.83307,17.82515,17.51418,17.30762,17.18881,0.04091648,758,115,52253
121.56117,37.640512,19.09977,17.43777,16.78959,16.45453,16.20277,0.04098006,758,133,52253
119.68085,37.367851,19.453,17.74905,17.03449,16.67511,16.43423,0.04040029,758,289,52253
122.32323,38.336943,17.7368,16.59817,16.09747,15.80992,15.61139,0.04071528,758,566,52253
122.52738,38.01708,16.96068,15.08746,14.22356,13.81248,13.50743,0.04041682,758,572,52253
123.21864,38.639966,18.31104,16.90029,16.22656,15.87928,15.58505,0.04028692,759,102,52254
123.06006,39.048717,18.92163,17.6204,17.08826,16.82546,16.68276,0.04069946,759,157,52254
125.05915,40.666811,18.52573,17.11323,16.58992,16.32085,16.11981,0.04059312,760,136,52264
128.63282,42.916028,17.60038,16.8042,16.17569,15.87525,15.67057,0.0401826,762,121,52232
132.53154,46.350098,18.20241,16.41997,15.66372,15.27157,14.95511,0.04075339,763,585,52235
134.92878,47.833331,18.22968,16.82131,16.08611,15.63112,15.25349,0.04063335,764,551,52238
169.75375,5.5492926,18.21518,16.96982,16.88894,16.18241,16.03878,0.04031008,836,335,52376
163.42221,5.8877866,18.60078,17.08447,16.29947,15.82627,15.48722,0.04037232,1001,11,52670
165.96402,9.1330309,17.3491,15.55943,14.80419,14.4501,14.18423,0.04056216,1220,25,52723
165.96692,9.1633271,18.20952,17.06025,16.6114,16.34188,16.15393,0.04079918,1221,292,52751
180.43171,9.7535976,18.37334,17.52295,17.4335,17.28633,17.22086,0.04071409,1228,144,52728
148.32788,7.8018215,18.88095,16.94636,16.10179,15.70764,15.40215,0.04057299,1235,150,52734
211.47841,45.644673,18.80915,17.18319,16.4866,16.14197,15.89805,0.04027768,1286,243,52725
229.18057,36.916343,19.11685,17.73898,17.01902,16.59404,16.27441,0.04073788,1400,317,53470
181.18026,48.643733,18.18756,16.74895,16.11176,15.76195,15.496,0.04091645,1449,408,53116
188.99923,48.589776,20.2252,18.33149,17.32442,16.75867,16.25581,0.04052497,1453,604,53084
205.24334,46.843255,17.88113,16.70657,16.24736,15.96967,15.82172,0.04007431,1465,445,53082
210.51734,45.384093,18.08141,16.50307,15.76471,15.37477,15.10913,0.04086973,1467,371,53115
210.86287,45.235326,17.29671,15.56224,14.80829,14.46424,14.18586,0.04083165,1467,409,53115
211.74237,44.68807,18.44721,16.77407,15.98653,15.60634,15.29913,0.04064946,1467,519,53115
250.43883,23.062559,18.05737,16.95474,16.53586,16.26687,16.11256,0.04041116,1570,405,53149
247.21776,25.597807,18.01686,16.14091,15.31059,14.9191,14.60042,0.04083068,1574,592,53476
193.4933,8.795433,18.51206,17.30494,16.8149,16.55626,16.37856,0.04069019,1791,93,54266
193.12035,9.2525431,18.7285,17.65824,17.28371,17.04773,16.88137,0.04026888,1791,162,54266
212.99782,25.373246,17.32686,15.5637,14.79372,14.42616,14.1329,0.04095129,2124,617,53770
